Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Mallee Track Health & Community Service [Sea Lake],03 5070 2155,33-43 McClelland Avenue,Sea Lake,3533,Vic,Mallee Track Health and Community Service,Murray,,Regional hospital,Public,<50,-35.500395,142.858003,498
Malvern Private Hospital,03 9885 9621,5 Winton Vale Crescent,Malvern East,3145,Vic,,,http://www.malvernprivate.com.au,,Private,<50,-37.866954,145.060765,499
Manangatang & District Hospital,03 5035 1500,37 Pioneer Street,Manangatang,3546,Vic,Robinvale District Health Services,Murray,,Regional hospital,Public,<50,-35.050955,142.880512,500
Manilla Hospital,02 6785 4000,143 Court Street,Manilla,2346,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,50-99,-30.745717,150.732249,501
Manning Hospital,02 6592 9111,26 York Street,Taree,2430,NSW,Hunter New England,Hunter New England and Central Coast,,Large regional hospital with an emergency department,Public,100-199,-31.910418,152.454485,502
Manningham Day Procedure Centre,03 8850 0590,"Suite 304, Level 3 Manningham Medical Centre 200 High Street",Templestowe Lower,3107,Vic,,,www.mdpc.com.au,,Private,<50,-37.773471,145.115662,503
Mannum District Hospital,08 8569 0200,Parker Street,Mannum,5238,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/mannumhospital,Regional hospital,Public,<50,-34.916481,139.308614,504
Mansfield District Hospital,03 5775 8800,53 Highett Street,Mansfield,3722,Vic,Mansfield District Hospital,Murray,www.mdh.org.au/,Small hospital,Public,<50,-37.057574,146.086149,505
Mareeba Hospital,07 4092 9333,21 Lloyd Street,Mareeba,4880,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_mareeba_hosp.asp,Small hospital,Public,50-99,-16.987117,145.424468,506
Margaret River Hospital,08 9757 0400,Farrelly Street,Margaret River,6285,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=114,Small hospital,Public,<50,-33.952162,115.071229,507
Maroondah Hospital [East Ringwood],1300 342 255,Davey Drive,Ringwood East,3135,Vic,Eastern Health (Vic),Eastern Melbourne,https://www.easternhealth.org.au/locations/maroondah-hospital,Large metropolitan hospital with an emergency department,Public,200-500,-37.806884,145.254535,508
Maryborough District Health Service [Dunolly],03 5468 1000,20 Havelock Street,Dunolly,3472,Vic,Maryborough District Health Service,Western Victoria,,Regional hospital,Public,<50,-36.855269,143.735139,509
Maryborough District Health Service [Maryborough],03 5461 0333,75-87 Clarendon Street,Maryborough,3465,Vic,Maryborough District Health Service,Western Victoria,,Small hospital,Public,<50,-37.044781,143.737692,510
Maryborough Hospital,07 4122 8222,185 Walker Street,Maryborough,4650,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-maryborough.asp,Medium regional hospital with an emergency department,Public,50-99,-25.522131,152.689855,511
Maryvale Private Hospital,03 5132 1200,286 Maryvale Road,Morwell,3840,Vic,,,www.maryvaleph.com.au,,Private,<50,-38.215028,146.418561,512
Masada Private Hospital,03 9038 1300,26 Balaclava Road,St Kilda,3183,Vic,,,www.masadaprivate.com.au,,Private,50-99,-37.869799,145.003096,513
Mater Adult Hospital,07 3163 8111,Raymond Terrace,South Brisbane,4101,Qld,Not applicable,Brisbane South,http://www.mater.org.au/mhb,Large metropolitan hospital with an emergency department,Public,200-500,-27.485488,153.028103,514
Mater Children's Private Brisbane,07 3163 8111,Raymond Terrace,South Brisbane,4101,Qld,,,http://www.mater.org.au/Home/Hospitals/Mater-Children-s-Private-Brisbane,,Private,50-99,-27.48485,153.027436,515
Mater Hospital Pimlico,07 4727 4444,21 - 37 Fulham Road,Pimlico,4812,Qld,,,www.matertsv.org.au,,Private,100-199,-19.288482,146.786528,516
Mater Hospital Sydney,02 9900 7300,25 Rocklands Road,North Sydney,2060,NSW,,,www.matersydney.com.au,,Private,200-500,-33.831152,151.201247,517
Mater Misericordiae Day Unit,07 4953 5990,1 Wellington Street,Mackay,4740,Qld,,,www.mercycq.com,,Private,<50,-21.139073,149.181984,518
Mater Misericordiae Hospital Bundaberg,07 4153 9539,313 Bourbong Street,Bundaberg,4670,Qld,,,https://www.mercycq.com/bb/home,,Private,50-99,-24.870766,152.330412,519
Mater Misericordiae Hospital Gladstone,07 4971 3713,50 Rossella Street,Gladstone,4680,Qld,,,https://www.mercycq.com/gs/home,,Private,<50,-23.850526,151.247469,520
Mater Misericordiae Hospital Mackay,07 4965 5666,76 Willetts Road,Mackay,4740,Qld,,,https://www.mercycq.com/mc/home,,Private,100-199,-21.129416,149.166033,521
Mater Misericordiae Hospital Rockhampton,07 4931 3313,Ward Street,Rockhampton,4700,Qld,,,https://www.mercycq.com/rh/home,,Private,100-199,-23.398033,150.497444,522
Mater Mothers' Hospital,07 3163 1918,Raymond Terrace,South Brisbane,4101,Qld,Not applicable,Brisbane South,www.mater.org.au/Home/Hospitals/Mater-Mothers--Hospital,Specialist women's hospital,Public,100-199,-27.485436,153.027001,523
Mater Mothers' Private Brisbane,07 3163 8111,Raymond Terrace,South Brisbane,4101,Qld,,,www.matermothers.org.au/mmpb,,Private,100-199,-27.485992,153.027747,524
Mater Private Hospital Brisbane,07 3163 8111,301 Vulture Street,South Brisbane,4101,Qld,,,www.mater.org.au,,Private,200-500,-27.483975,153.028777,525
Mater Private Hospital Redland,07 3163 7444,Weippin Street,Cleveland,4163,Qld,,,www.mater.org.au,,Private,50-99,-27.540811,153.25043,526
Mater Women's and Children's Hospital Hyde Park,07 4727 4444,12 Oxford Street,Hyde Park,4812,Qld,,,www.matertsv.org.au,,Private,50-99,-19.276512,146.798978,527
May Shaw District Nursing Centre,03 6257 9100,37 Wellington Street,Swansea,7190,Tas,Tasmanian Health Service,Tasmania,http://www.dhhs.tas.gov.au/service_information/services_files/may_shaw_health_centre_inc,Regional hospital,Public,<50,-42.127383,148.076788,528
McLaren Vale & Districts War Memorial Hospital Inc,08 8323 6600,3 Aldersey Street,McLaren Vale,5171,SA,Country Health SA,Adelaide,www.mclarenvalehospital.com.au,Small hospital,Public,<50,-35.221405,138.544962,529
Meekatharra Hospital,08 9981 0600,Savage Street,Meekatharra,6642,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=115,Regional hospital,Public,<50,-26.591366,118.491861,530
Melbourne MediBrain & MediSleep Centre,03 9504 8400,631 Inkerman Road,Caulfield North,3161,Vic,,,www.medibrain.com.au,,Private,<50,-37.869064,145.018774,531
Melbourne Oral & Facial Surgery,03 9654 4844,"Level 12, 63 Exhibition Street",Melbourne,3000,Vic,,,www.mofs.com.au,,Private,<50,-37.814488,144.971391,532
Melbourne Private Hospital,03 8341 3400,Royal Parade,Parkville,3052,Vic,,,www.melbourneprivatehospital.com.au,,Private,100-199,-37.798272,144.957025,533
Melton Health,03 9747 7600,195-209 Barries Road,Melton West,3337,Vic,Djerriwarrh Health Service (Vic),North Western Melbourne,,Metropolitan hospital,Public,<50,-37.686449,144.558284,534
Menindee Health Service,08 8091 4209,Perry Street,Menindee,2879,NSW,Far West,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.390335,142.414869,535
Meningie and Districts Memorial Hospital and Health Services,08 8575 2777,2 South Terrace,Meningie,5264,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/meningiehospital,Regional hospital,Public,<50,-35.693212,139.335565,536
Mercy Care Hospital - Albury,02 6042 1400,550 Poole Street,Albury,2640,NSW,Murrumbidgee,Murray,http://www.mercyhealth.com.au/hcmhs/clinics/Pages/Mercy%20Health%20Albury.aspx,Regional hospital,Public,<50,-36.069221,146.916764,537
Mercy Care Hospital - Young,02 6382 8444,69 Demondrille Street,Young,2594,NSW,Murrumbidgee,Murrumbidgee,www.mercyhealth.com.au/hcmhs/clinics/Pages/Mercy%20Care%20Centre%20Young.aspx,Regional hospital,Public,<50,-34.321003,148.288693,538
Mercy Health - O'Connell Family Centre,03 8416 7600,6 Mont Albert Road,Canterbury,3126,Vic,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,http://www.mercyhealth.com.au/meps/ofc/Pages/O%27Connell%20Family%20Centre%20-%20About%20Us.aspx,Early parenting centre,Public,<50,-37.816688,145.061729,539
Mercy Hospital for Women,03 8458 4444,163 Studley Road,Heidelberg,3084,Vic,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,http://www.mercyhealth.com.au/hcmhs/clinics/Pages/Heidelberg%20-%20Mercy%20Hospital%20for%20Women.aspx,Specialist women's hospital with an emergency department,Public,100-199,-37.756075,145.061008,540
Merredin Health Service,08 9081 3222,Kitchener Road,Merredin,6415,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=118,Regional hospital,Public,<50,-31.485204,118.276491,541
Merriwa Multi Purpose Service,02 6532 5000,MacKenzie Street,Merriwa,2329,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-32.142714,150.361316,542
Mersey Community Hospital,03 6478 5500,Bass Highway,Latrobe,7307,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/hospital/mersey-community-hospital,Medium regional hospital with an emergency department,Public,50-99,-41.229052,146.422445,543
MetroRehab Hospital,02 8585 4900,275 Addison Road,Petersham,2049,NSW,,,www.metrorehab.com.au,,Private,<50,-33.899441,151.155602,544
Metwest Surgical,02 9622 7667,17 Hereward Highway,Blacktown,2148,NSW,,,www.metwesteyecentre.com.au,,Private,<50,-33.774236,150.912421,545
Midlands Multi Purpose Centre,03 6254 5030,13 Church Street,Oatlands,7120,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/midlands_multi-purpose_health_centre,Regional hospital,Public,<50,-42.299353,147.369522,546
Mildura Base Hospital,03 5022 3333,Ontario Avenue,Mildura,3502,Vic,Mildura Base Hospital,Murray,www.mildurabase.com.au/,Large regional hospital with an emergency department,Public,100-199,-34.185634,142.143348,547
Mildura Private Hospital,03 5022 2611,220-228 Thirteenth Street,Mildura,3500,Vic,,,www.milduraprivatehospital.com.au,,Private,50-99,-34.18479,142.145705,548
Miles Hospital,07 4628 5600,26 Colamba Street,Miles,4415,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-miles-hs.asp,Regional hospital,Public,<50,-26.658236,150.191023,549
Millicent and Districts Hospital and Health Service,08 8733 4755,Mount Gambier Road,Millicent,5280,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/millicenthospital,Small hospital,Public,<50,-37.598354,140.358924,550
Millmerran Hospital,07 4695 3111,50 Commens Street,Millmerran,4357,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-millmerran-hs.asp,Regional hospital,Public,<50,-27.878928,151.26267,551
Milton Ulladulla Hospital,02 4455 1333,104-106 Princes Highway,Milton,2538,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Milton_Ulladulla/default.asp,Small hospital with an emergency department,Public,<50,-35.317313,150.438918,552
Miranda Eye Surgical Centre,02 9540 4586,Suite 4/16-22 Willock Avenue,Miranda,2228,NSW,,,,,Private,<50,-34.03244,151.101631,553
Mitcham Private Hospital,03 9210 3222,27 Doncaster East Road,Mitcham,3132,Vic,,,www.mitchamprivate.com.au,,Private,100-199,-37.810436,145.194808,554
Mitchell Hospital,07 4623 1277,95 Ann Street,Mitchell,4465,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_mitch_hosp.asp,Regional hospital,Public,<50,-26.489913,147.972493,555
Modbury Hospital,08 8161 2000,41-69 Smart Road,Modbury,5092,SA,Northern Adelaide,Adelaide,www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/modbury+hospital/modbury+hospital,Large metropolitan hospital with an emergency department,Public,100-199,-34.834166,138.690505,556
Mogo Day Surgery,02 4474 3774,2-4 Charles Street,Mogo,2536,NSW,,,www.mogodaysurgery.com.au,,Private,<50,-35.782893,150.14387,557
Molong Health Service,02 6392 3300,King Street,Molong,2866,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-33.087622,148.859724,558
Mona Vale Hospital,02 9998 0333,Coronation Street,Mona Vale,2103,NSW,Northern Sydney,Northern Sydney,www.nslhd.health.nsw.gov.au/Hospitals/MonaVale/,Large metropolitan hospital,Public,100-199,-33.685353,151.306618,559
Monash Medical Centre [Clayton],03 9594 6666,246 Clayton Road,Clayton,3168,Vic,Monash Health,Eastern Melbourne,http://www.monashhealth.org/page/Monash_Medical_Centre,Major hospital with an emergency department,Public,>500,-37.921176,145.123128,560
Monash Medical Centre [Moorabbin],03 9928 8111,823-865 Centre Road,East Bentleigh,3165,Vic,Monash Health,South Eastern Melbourne,,Large metropolitan hospital,Public,100-199,-37.920697,145.063197,561
Monto Hospital,07 4166 9300,35 Flinders Street,Monto,4630,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-monto.asp,Regional hospital,Public,<50,-24.866424,151.112501,562
Montserrat Day Hospital Gaythorne,07 3550 3550,383-391 Samford Road,Gaythorne,4051,Qld,,,www.montserrat.com.au,,Private,<50,-27.417069,152.982237,563
Moora Hospital,08 9651 0222,Dandaragan Road,Moora,6510,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=120,Regional hospital,Public,<50,-30.639557,116.001119,564
Moranbah Hospital,07 4941 4600,Elliott Street,Moranbah,4744,Qld,Mackay,Northern Queensland,www.health.qld.gov.au/services/mackay/moranb_hosp.asp,Regional hospital,Public,<50,-22.002125,148.055287,565
Morawa Health Service,08 9971 0200,Caulfield Road,Morawa,6623,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=121,Regional hospital,Public,<50,-29.212897,116.002986,566
Moree Hospital,02 6757 0000,Alice Street,Moree,2400,NSW,Hunter New England,Hunter New England and Central Coast,,Small hospital with an emergency department,Public,<50,-29.470678,149.839648,567
Morisset Hospital,02 4973 0222,Dora Street,Morisset,2264,NSW,Hunter New England,Hunter New England and Central Coast,,Specialist psychiatric hospital,Public,100-199,-33.128549,151.512816,568
Mornington Island Hospital,07 4745 7209,Lardyl Street,Mornington Island,4871,Qld,North West (Qld),Western Queensland,https://www.health.qld.gov.au/services/northwest/nwest_mornis_phcc,Regional hospital,Public,<50,-16.665534,139.178559,569
Moruya Hospital,02 4474 2666,2-10 River Street,Moruya,2537,NSW,Southern NSW,South Eastern NSW,,Small hospital with an emergency department,Public,50-99,-35.904137,150.070774,570
Mossman Hospital,07 4084 1200,9 Hospital Street,Mossman,4873,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_doug_mphs.asp,Small hospital,Public,<50,-16.464031,145.368025,571
Mount Barker District Soldiers' Memorial Hospital,08 8393 1777,Wellington Road,Mount Barker,5251,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/MtBarkerhospital,Small hospital,Public,<50,-35.081813,138.870277,572
Mount Druitt Hospital,02 9881 1555,75 Railway Street,Mount Druitt,2770,NSW,Western Sydney,Western Sydney,http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital,Medium metropolitan hospital with an emergency department,Public,100-199,-33.765929,150.829646,573
Mount Gambier and Districts Health Service,08 8721 1200,276-300 Wehl Street North,Mount Gambier,5290,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/mtgambierhospital,Medium regional hospital with an emergency department,Public,50-99,-37.805003,140.786662,574
Mount Gambier Private Hospital,08 8721 1412,276-300 Wehl Street North,Mount Gambier,5290,SA,,,,,Private,<50,-37.805952,140.786887,575
Mount Hospital,08 9481 1822,150 Mounts Bay Road,West Perth,6005,WA,,,www.mounthospital.com.au,,Private,200-500,-31.958534,115.845401,576
Mount Isa Base Hospital,07 4744 4444,30 Camooweal Street,Mount Isa,4825,Qld,North West (Qld),Western Queensland,https://www.health.qld.gov.au/services/northwest/nwest_mtisa_hosp,Medium regional hospital with an emergency department,Public,50-99,-20.730919,139.493815,577
Mount Morgan Hospital,07 4912 5100,Black Street,Mount Morgan,4714,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/mt-morgan.asp,Regional hospital,Public,<50,-23.645094,150.392639,578
Mount Pleasant District Hospital,08 8568 0000,28 Hospital Road,Mount Pleasant,5235,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/MtPleasanthospital,Regional hospital,Public,<50,-34.773855,139.054212,579
Mount Wilga Private Hospital,02 9847 5000,66 Rosamond Street,Hornsby,2077,NSW,,,www.mtwilgaprivate.com.au/,,Private,50-99,-33.692829,151.092939,580
Moura Hospital,07 4997 2900,14 Nott Street,Moura,4718,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/moura.asp,Regional hospital,Public,<50,-24.575948,149.975999,581
Moyne Health Services [Port Fairy],03 5568 0100,30-36 Villiers Street,Port Fairy,3284,Vic,Moyne Health Services (Port Fairy),Western Victoria,,Regional hospital,Public,<50,-38.381599,142.227523,582
Mudgee Health Service,02 6378 6222,Meares Street,Mudgee,2850,NSW,Western NSW,Western NSW,,Small hospital with an emergency department,Public,<50,-32.603229,149.588179,583
Mullewa Health Service,08 9961 6200,Elder Street,Mullewa,6630,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=124,Regional hospital,Public,<50,-28.535991,115.510017,584
Mundubbera Hospital,07 4165 5200,96 Leichhardt Street,Mundubbera,4626,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-mundubbera.asp,Regional hospital,Public,<50,-25.587619,151.293282,585
Mungindi Hospital,02 6705 6100,Barwon Street,Mungindi,2406,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_mungin_hosp.asp,Regional hospital,Public,<50,-28.972817,148.989061,586
Murgon Hospital,07 4169 9600,Coronation Drive,Murgon,4605,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-murgon-hs.asp,Regional hospital,Public,<50,-26.239075,151.950702,587
Murray Bridge Soldiers' Memorial Hospital,08 8535 6777,96 Swanport Road,Murray Bridge,5253,SA,Country Health SA,Country SA,http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+-+country+south+australia/murray+mallee+hospitals+and+health+services/murray+bridge+soldiers+memorial+hospital,Small hospital,Public,50-99,-35.128911,139.280462,588
Murray District Hospital,08 9531 7222,McKay Street,Pinjarra,6208,WA,South Metropolitan Health Service (WA),Perth South,www.rkpg.health.wa.gov.au,Regional hospital,Public,<50,-32.639709,115.871589,589
Murray Valley Private Hospital,02 6055 3100,Nordsvan Drive,Wodonga,3690,Vic,,,www.mvph.com.au,,Private,<50,-36.138419,146.876478,590
Murrumburrah-Harden Hospital,02 6386 2200,54 Swift Street,Harden,2587,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-34.555254,148.360186,591
Murwillumbah Hospital,02 6672 1822,8 Ewing Street,Murwillumbah,2484,NSW,Northern NSW,North Coast,,Small hospital with an emergency department,Public,50-99,-28.323417,153.400811,592
Muswellbrook Hospital,02 6542 2000,36 Brentwood Street,Muswellbrook,2333,NSW,Hunter New England,Hunter New England and Central Coast,,Small hospital with an emergency department,Public,50-99,-32.264545,150.900263,593
Nambour Day Surgery,07 5476 3700,115 Howard Street,Nambour,4560,Qld,,,www.eastcoastwomens.com.au,,Private,,-26.626321,152.96409,594
Nambour General Hospital,07 5470 6600,Hospital Road,Nambour,4560,Qld,Sunshine Coast,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/sunshinecoast/nambour.asp,Large metropolitan hospital with an emergency department,Public,100-199,-26.621659,152.952249,595
Nambour Selangor Private Hospital,07 5459 7444,62 Netherton Street,Nambour,4560,Qld,,,www.nambourselangor.com.au,,Private,50-99,-26.618265,152.955949,596
Nanango Hospital,07 4171 6700,135 Brisbane Street,Nanango,4615,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-nanango-hs.asp,Regional hospital,Public,<50,-26.666405,152.007833,597
Nannup Hospital,08 9756 3800,Carey Street,Nannup,6275,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=126,Regional hospital,Public,<50,-33.982797,115.76723,598
Naracoorte Health Service,08 8762 8100,101 Jenkins Terrace,Naracoorte,5271,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/naracoortehospital,Small hospital,Public,50-99,-36.966849,140.743693,599
Narembeen Memorial Hospital,08 9064 6222,Ada Street,Narembeen,6369,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=127,Regional hospital,Public,<50,-32.061618,118.391289,600
Narrabri Hospital,02 6799 2800,11 Cameron Street,Narrabri,2390,NSW,Hunter New England,Hunter New England and Central Coast,www.hnehealth.nsw.gov.au,Small hospital with an emergency department,Public,<50,-30.325869,149.777108,601
Narrandera Hospital,02 6951 0200,54 Adams Street,Narrandera,2700,NSW,Murrumbidgee,Murrumbidgee,,Small hospital with an emergency department,Public,<50,-34.743181,146.547661,602
Narrogin Hospital,08 9881 0333,Williams Road,Narrogin,6312,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=129,Small hospital,Public,<50,-32.937341,117.168459,603
Narromine Health Service,02 6889 9600,128 Cathundral Street,Narromine,2821,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.24261,148.239201,604
Nathalia District Hospital,03 5866 9444,36-44 McDonnell Street,Nathalia,3638,Vic,Nathalia District Hospital,Murray,www.humehealth.com.au/nathalia,Regional hospital,Public,<50,-36.054754,145.204324,605
National Capital Private Hospital,02 6222 6666,Corner of Gilmore Crescent and Hospital Road,Garran,2605,ACT,,,www.nationalcapitalprivatehospital.com.au,,Private,50-99,-35.344872,149.101944,606
Nepean Hospital,02 4734 2000,Derby Street,Kingswood,2747,NSW,Nepean Blue Mountains,Nepean Blue Mountains,www.nbmlhd.health.nsw.gov.au/Nepean-Hospital/Nepean-Hospital,Major hospital with an emergency department,Public,>500,-33.759865,150.712627,607
Nepean Private Hospital,02 4732 7333,1-9 Barber Avenue,Kingswood,2747,NSW,,,www.nepeanprivatehospital.com.au,,Private,100-199,-33.759775,150.715206,608
Neringah Hospital,02 9488 2200,4-12 Neringah Avenue,Wahroonga,2076,NSW,Northern Sydney,Northern Sydney,,Metropolitan hospital,Public,<50,-33.717856,151.114556,609
New Farm Clinic,07 3254 9100,22 Sargent Street,New Farm,4005,Qld,,,www.newfarmclinic.com.au/,,Private,100-199,-27.473623,153.045879,610
New Norfolk District Hospital,03 6166 1300,3 Richmond Street,New Norfolk,7140,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/new_norfolk_district_hospital,Regional hospital,Public,<50,-42.781315,147.059179,611
Newcastle Private Hospital,02 4941 8400,14 Lookout Road,New Lambton Heights,2305,NSW,,,www.newcastleprivatehospital.com.au,,Private,100-199,-32.922537,151.698371,612
Newman Hospital,08 9175 8333,54 Mindarra Drive,Newman,6753,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=131,Regional hospital,Public,<50,-23.354824,119.736503,613
"Next Step Drug And Alcohol Services, East Perth",08 9219 1919,32 Moore Street,East Perth,6004,WA,East Metropolitan Health Service (WA),Perth North,,Drug and alcohol hospital,Public,<50,-31.953405,115.869171,614
Nimbin Multi Purpose Service,02 6689 1400,35 Cullen Street,Nimbin,2480,NSW,Northern NSW,North Coast,,Regional hospital with an emergency department,Public,<50,-28.597371,153.223185,615
Noarlunga Hospital,08 8384 9222,Alexander Kelly Drive,Noarlunga Centre,5168,SA,Southern Adelaide,Adelaide,www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/noarlunga+hospital/noarlunga+hospital,Medium metropolitan hospital with an emergency department,Public,50-99,-35.139879,138.500218,616
Noosa Hospital,07 5455 9200,111 Goodchap Street,Noosaville,4566,Qld,,,www.noosahospital.com.au,,Private,50-99,-26.403209,153.046309,617
Normanton Hospital,07 4745 2100,Brown Street,Normanton,4890,Qld,North West (Qld),Western Queensland,www.health.qld.gov.au/services/northwest/nwest_norm_hosp.asp,Regional hospital,Public,<50,-17.678739,141.086425,618
Norseman Hospital,08 9039 9200,Talbot Street,Norseman,6443,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=134,Regional hospital,Public,<50,-32.198566,121.767663,619
North East Soldiers' Memorial Hospital and Community Service Centre (Scottsdale Hospital),03 6778 8522,28 Fosters Road,Scottsdale,7260,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/north_east_soldiers_memorial_hospital_and_community_service_centre/_nocache?SQ_DESIGN_NAME=v2,Small hospital,Public,<50,-41.154294,147.521324,620
North Eastern Rehabilitation Centre,03 9474 8900,134-144 Ford Street,Ivanhoe,3079,Vic,,,www.northeasternrehabilitationcentre.com.au,,Private,<50,-37.763424,145.031344,621
North Lakes Day Hospital,07 3833 6755,7 Endeavour Boulevard,North Lakes,4509,Qld,,,www.montserrat.com.au,,Private,<50,-27.238984,153.021947,622
North Midlands Health Service,08 9954 3200,Thomas Street,Three Springs,6519,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=136,Regional hospital,Public,<50,-29.534221,115.759184,623
North Queensland Day Surgical Centre,07 4725 2677,119 Kings Road,Pimlico,4812,Qld,,,www.visioneyeinstitute.com.au,,Private,,-19.279643,146.791468,624
North Shore Private Hospital,02 8425 3000,3 Westbourne Street,St Leonards,2065,NSW,,,www.northshoreprivate.com.au,,Private,200-500,-33.820622,151.189159,625
North West Private Hospital,07 3246 3133,137 Flockton Street,Everton Park,4053,Qld,,,www.northwestprivatehospital.com.au,,Private,100-199,-27.393992,152.992705,626
North West Regional Hospital,03 6430 6666,23 Brickport Road,Burnie,7320,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/north_west_regional_hospital,Large regional hospital with an emergency department,Public,100-199,-41.048385,145.880842,627
Northam Hospital,08 9690 1300,Robinson Street,Northam,6401,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=137,Small hospital,Public,<50,-31.649582,116.657681,628
Northampton Kalbarri Health Service,08 9934 0200,Stephen Street,Northampton,6535,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=138,Regional hospital,Public,<50,-28.351194,114.635119,629
Northeast Health Wangaratta,03 5722 5111,35-47 Green Street,Wangaratta,3677,Vic,Northeast Health Wangaratta,Murray,,Large regional hospital with an emergency department,Public,100-199,-36.354035,146.313889,630
Northern Beaches Hospital,02 9105 5000,105 Frenchs Forest Road (West),Frenchs Forest,2086,NSW,Northern Sydney,Northern Sydney,www.northernbeacheshospital.com.au,,Public,200-500,-33.750646,151.23377,631
Northern Yorke Peninsula Health Service (Wallaroo),08 8823 0200,1 Ernest Terrace,Wallaroo,5556,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/wallaroohospital,Small hospital,Public,<50,-33.927738,137.636783,632
